#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGQ12554.1	macB	1096995.BJAB07104_00183	1096995.BJAB07104_00590	0.095	0	0	0	0.220	0	0	0.322	0.479
AGQ12667.1	AGQ12691.1	1096995.BJAB07104_00297	1096995.BJAB07104_00321	0	0	0.415	0	0	0	0	0.046	0.418
AGQ12667.1	tolQ_2	1096995.BJAB07104_00297	1096995.BJAB07104_02153	0	0	0.499	0	0	0	0	0	0.499
AGQ12688.1	thiC	1096995.BJAB07104_00318	1096995.BJAB07104_00317	0.443	0	0	0	0	0	0	0	0.444
AGQ12688.1	AGQ14261.1	1096995.BJAB07104_00318	1096995.BJAB07104_01893	0.064	0	0.401	0	0	0	0	0.056	0.424
AGQ12688.1	phoU	1096995.BJAB07104_00318	1096995.BJAB07104_00322	0.434	0	0	0	0	0	0	0.105	0.471
AGQ12688.1	AGQ12691.1	1096995.BJAB07104_00318	1096995.BJAB07104_00321	0.461	0	0.164	0	0	0	0	0.056	0.538
AGQ12688.1	AGQ12690.1	1096995.BJAB07104_00318	1096995.BJAB07104_00320	0.539	0	0	0	0	0	0	0	0.539
AGQ12688.1	AGQ12689.1	1096995.BJAB07104_00318	1096995.BJAB07104_00319	0.539	0	0	0	0	0	0	0.048	0.542
AGQ12689.1	AGQ12688.1	1096995.BJAB07104_00319	1096995.BJAB07104_00318	0.539	0	0	0	0	0	0	0.048	0.542
AGQ12689.1	AGQ12691.1	1096995.BJAB07104_00319	1096995.BJAB07104_00321	0.535	0	0	0	0	0	0	0.045	0.537
AGQ12689.1	AGQ12690.1	1096995.BJAB07104_00319	1096995.BJAB07104_00320	0.803	0	0.371	0	0	0	0	0	0.871
AGQ12690.1	AGQ12688.1	1096995.BJAB07104_00320	1096995.BJAB07104_00318	0.539	0	0	0	0	0	0	0	0.539
AGQ12690.1	AGQ12689.1	1096995.BJAB07104_00320	1096995.BJAB07104_00319	0.803	0	0.371	0	0	0	0	0	0.871
AGQ12690.1	AGQ12691.1	1096995.BJAB07104_00320	1096995.BJAB07104_00321	0.534	0	0	0	0	0	0	0	0.535
AGQ12691.1	AGQ12667.1	1096995.BJAB07104_00321	1096995.BJAB07104_00297	0	0	0.415	0	0	0	0	0.046	0.418
AGQ12691.1	AGQ12688.1	1096995.BJAB07104_00321	1096995.BJAB07104_00318	0.461	0	0.164	0	0	0	0	0.056	0.538
AGQ12691.1	AGQ12689.1	1096995.BJAB07104_00321	1096995.BJAB07104_00319	0.535	0	0	0	0	0	0	0.045	0.537
AGQ12691.1	AGQ12690.1	1096995.BJAB07104_00321	1096995.BJAB07104_00320	0.534	0	0	0	0	0	0	0	0.535
